"SR - Tipo BP","ID Service Request","SR - Stato Sistema","SR - Stato utente","SR - Categorizzazione I","SR - Categorizzazione II","SR - Categorizzazione III","SR - Tipo processo","
N. SR","codice_BP"
"Cliente a trattamento Speciale","8000353386","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002149"
"Cliente a trattamento Speciale","8000358227","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002990"
"Cliente a trattamento Speciale","8000359417","Aperto","In attesa consuntivazione Ods","Processi commerciali","Subentro","Subentro con modifica di portata","Subentro","1","1000003019"
"Cliente a trattamento Speciale","8000359811","Concluso","Annullato","Gestione utenza","Verifica da Cliente","Verifica pressione","Verifica da Cliente","1","1000002128"
"Cliente a trattamento Speciale","8000367296","Aperto","In attesa consuntivazione Ods","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000003077"
"Cliente a trattamento Speciale","8000368038","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002516"
"Cliente a trattamento Speciale","8000368116","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002419"
"Cliente a trattamento Speciale","8000368490","Aperto","In lavorazione","Processi commerciali","Subentro","Subentro con modifica di portata","Subentro","1","1000002190"
"Cliente a trattamento Speciale","8000397097","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","ZCAT_RECL/Senza attribuz.","Reclamo","1","1000002903"
"Cliente a trattamento Speciale","8000397385","Concluso","Chiuso","Reclami tecnici","Reclami su prestazioni","Lavori non eseguiti a regola d'arte","Reclamo","1","1000002894"
"Pubblica Amministrazione","8000345733","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002397"
"Pubblica Amministrazione","8000346125","Concluso","Chiuso","Gestione utenza","Verifica da Cliente","Verifica per Matricola Errata","Verifica da Cliente","1","1000002556"
"Pubblica Amministrazione","8000347863","Concluso","Annullato","Processi commerciali","Nuova attivazione","Nuovo Allaccio","Nuova Attivazione","1","1000002386"
"Pubblica Amministrazione","8000347946","Aperto","In lavorazione WFM","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002874"
"Pubblica Amministrazione","8000348312","Concluso","Chiuso","Richiesta Post Sales","Ristampa fattura + stampa bollettino","ZCAT01/Senza attribuz.","Richiesta Post Sales","1","1000002722"
"Pubblica Amministrazione","8000349931","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002474"
"Pubblica Amministrazione","8000350082","Aperto","In lavorazione","Processi commerciali","Richiesta preventivo acquedotto","Nuovo allaccio con attivazione","Preventivaz. idrica","1","1000002860"
"Pubblica Amministrazione","8000350519","Aperto","Nuovo","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002431"
"Pubblica Amministrazione","8000350543","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000003132"
"Pubblica Amministrazione","8000350611","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002691"
"Pubblica Amministrazione","8000350639","Aperto","Gestione modulistica","Processi commerciali","Cessazione","Rimozione Misuratore per richiesta Cliente","Cessazione","1","1000002204"
