"Categoria Tariffa","Tipo BP","Stato Utenza","Stato Utenza IS-U","Conto Co.Ge.","Fatturato emesso","Totale Inevaso","Credito NON Scaduto","Credito Scaduto","Aging credito scaduto:30gg","Aging credito scaduto:60gg","Aging credito scaduto:90gg","Aging credito scaduto:120gg","Aging credito scaduto:150gg","Aging credito scaduto:180gg","Aging credito scaduto:360gg","Aging credito scaduto:720gg","Aging credito scaduto:over 720gg","codice_BP"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-7.47 EUR","","-7.47 EUR","","","","","","","","","-7.47 EUR","1000001440"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-2,023.67 EUR","","-2,023.67 EUR","","","","","","","","","-2,023.67 EUR","1000001903"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-46.06 EUR","","-46.06 EUR","","","","","","","","","-46.06 EUR","1000001759"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","-459.46 EUR","","-459.46 EUR","","","","","","","","","-459.46 EUR","1000001855"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","-26.47 EUR","","-26.47 EUR","","","","","","","","","-26.47 EUR","1000001076"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","12,664.54 EUR","","12,664.54 EUR","","","","","","","","","12,664.54 EUR","1000001772"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","673.66 EUR","","673.66 EUR","","","","","","","","","673.66 EUR","1000001493"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","6,780.96 EUR","","6,780.96 EUR","","","","","","","","","6,780.96 EUR","1000001660"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","2,824.98 EUR","","2,824.98 EUR","","","","","","","","","2,824.98 EUR","1000002089"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","164.23 EUR","","164.23 EUR","","","","","","","","","164.23 EUR","1000001193"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","278.72 EUR","","278.72 EUR","","","","","","","","","278.72 EUR","1000002002"
"Condominiali Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","16.49 EUR","","16.49 EUR","","","","","","","","","16.49 EUR","1000001925"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001274"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","237.56 EUR","","237.56 EUR","","","","","","","","","237.56 EUR","1000001771"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","133.76 EUR","","133.76 EUR","","","","","","","","","133.76 EUR","1000000917"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","5,098.94 EUR","","5,098.94 EUR","","","","","","","","","5,098.94 EUR","1000002018"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","7.75 EUR","","7.75 EUR","","","","","","","","","7.75 EUR","1000002635"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000001460"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","4,062.08 EUR","","4,062.08 EUR","","","","","","","","","4,062.08 EUR","1000003169"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","27,018.39 EUR","","27,018.39 EUR","","","","","","","","","27,018.39 EUR","1000001289"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","291,793,997.70 EUR","","","","","","","","","","","","","1000002914"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","4,992.27 EUR","","4,992.27 EUR","","","","","","","","","4,992.27 EUR","1000001342"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","216.32 EUR","","216.32 EUR","","","","","","","","","216.32 EUR","1000001829"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","1,846.95 EUR","","1,846.95 EUR","","","","","","","","","1,846.95 EUR","1000001053"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","475.14 EUR","","475.14 EUR","","","","","","","","","475.14 EUR","1000001480"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","103.85 EUR","","103.85 EUR","","","","","","","","","103.85 EUR","1000001348"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","1,257.56 EUR","","1,257.56 EUR","","","","","","","","","1,257.56 EUR","1000002401"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","426.37 EUR","","426.37 EUR","","","","","","","","","426.37 EUR","1000001242"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","191.61 EUR","","191.61 EUR","","","","","","","","","191.61 EUR","1000001486"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","9,937.16 EUR","","9,937.16 EUR","","","","","","","","","9,937.16 EUR","1000001746"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","23.76 EUR","","23.76 EUR","","","","","","","","","23.76 EUR","1000003033"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","10.33 EUR","","10.33 EUR","","","","","","","","","10.33 EUR","1000001505"
"Insediamenti Produttivi","Correlate / Collegate","Attivo","ATTIVA","Crediti v utenti isu","","14,543.94 EUR","","14,543.94 EUR","","","","","","","","","14,543.94 EUR","1000003224"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","9,395.92 EUR","","9,395.92 EUR","","","","","","","","","9,395.92 EUR","1000002374"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crv/Comuni p/ut isu","","620.88 EUR","","620.88 EUR","","","","","","","","","620.88 EUR","1000002557"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","8,239.25 EUR","","8,239.25 EUR","","","","","","","","","8,239.25 EUR","1000001564"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","301,144,834.45 EUR","","","","","","","","","","","","","1000002328"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","28,866.88 EUR","","28,866.88 EUR","","","","","","","","","28,866.88 EUR","1000000883"
"Domestiche Residenti","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","847.08 EUR","","847.08 EUR","","","","","","","","","847.08 EUR","1000001219"
"Domestiche Residenti","Privato","Cessato","ATTIVA","Crediti v utenti isu","","4,937.28 EUR","","4,937.28 EUR","","","","","","","","","4,937.28 EUR","1000000996"
"Condominiali Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","16,581.70 EUR","","16,581.70 EUR","","","","","","","","","16,581.70 EUR","1000001025"
"Condominiali Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","328.76 EUR","","328.76 EUR","","","","","","","","","328.76 EUR","1000001590"
"Non Domestiche","Organizzazione","Attivo","ATTIVA","Crediti v utenti isu","","3,839.63 EUR","","3,839.63 EUR","","","","","","","","","3,839.63 EUR","1000002208"
"Non Domestiche","Organizzazione","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","2,688.74 EUR","","2,688.74 EUR","","","","","","","","","2,688.74 EUR","1000002913"
"Non Domestiche","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","4,371.76 EUR","","4,371.76 EUR","","","","","","","","","4,371.76 EUR","1000002497"
"Non Domestiche","Privato","Attivo","ATTIVA","Crediti v utenti isu","","13,490.99 EUR","","13,490.99 EUR","","","","","","","","","13,490.99 EUR","1000001301"
"Non Domestiche","Privato","Cessato con Conto Finale emesso","ATTIVA","Crediti v utenti isu","","228.19 EUR","","228.19 EUR","","","","","","","","","228.19 EUR","1000000961"
"Non Domestiche","Privato","Cessato","ATTIVA","Crediti v utenti isu","","3,846.84 EUR","","3,846.84 EUR","","","","","","","","","3,846.84 EUR","1000001396"
"Condominiali Miste","Privato","Attivo","ATTIVA","Crediti v utenti isu","","12,253.15 EUR","","12,253.15 EUR","","","","","","","","","12,253.15 EUR","1000001948"
"Uso Antincendio","Organizzazione","Cessato","ATTIVA","Crediti v utenti isu","","-1,466.74 EUR","","-1,466.74 EUR","","","","","","","","","-1,466.74 EUR","1000002912"
"Uso Antincendio","Privato","Attivo","ATTIVA","Crediti v utenti isu","","0.00 EUR","","0.00 EUR","","","","","","","","","0.00 EUR","1000000889"
"Senza attribuz.","Organizzazione","Cessato","CESSATA","Crediti v utenti isu","","-1,489.36 EUR","","-1,489.36 EUR","","","","","","","","","-1,489.36 EUR","1000002262"
"Senza attribuz.","Privato","Cessato","CESSATA","Crediti v utenti isu","","31,886.88 EUR","","31,886.88 EUR","","","","","","","","","31,886.88 EUR","1000001287"
"Senza attribuz.","Senza attribuz.","Senza attribuz.","CESSATA","Senza attribuz.","298,724,063.38 EUR","","","","","","","","","","","","","1000002779"
"Domestiche Residenti","Privato","Attivo","ATTIVA","Crediti v utenti isu","","7,716.25 EUR","","7,716.25 EUR","","","","","","","","","7,716.25 EUR","1000002083"
